05:42:23.093 [main] DEBUG [] (org.testng.TestNG: 82) - suiteXmlPath: "D:\Learnings\RestAssured\MovieDatabase\testng.xml"
05:42:23.821 [main] INFO  [] (org.testng.internal.Utils: 112) - [TestNG] Running:
  D:\Learnings\RestAssured\MovieDatabase\testng.xml

05:42:24.392 [main] INFO  [] (com.moviedb.tests.system.DatabaseCleanUp: 19) - Step 1: Resetting DB for Regression
05:52:47.841 [main] DEBUG [] (org.testng.TestNG: 82) - suiteXmlPath: "D:\Learnings\RestAssured\MovieDatabase\testng.xml"
05:52:48.247 [main] INFO  [] (org.testng.internal.Utils: 112) - [TestNG] Running:
  D:\Learnings\RestAssured\MovieDatabase\testng.xml

05:52:48.607 [main] INFO  [] (com.moviedb.tests.system.DatabaseCleanUp: 19) - Step 1: Resetting DB for Regression
05:52:51.815 [main] INFO  [] (com.moviedb.tests.system.DatabaseCleanUp: 25) - Step 2: Validating API response
05:52:52.042 [TestNG-test-Movie related tests-3] INFO  [shouldBeAbleToDeleteAMovie] (com.moviedb.tests.movies.MovieCrudTests: 214) - Step 1: Creating a default movie
05:52:52.042 [TestNG-test-Movie related tests-1] INFO  [shouldBeAbleToCreateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 33) - Step 1: Creating a default movie
05:52:52.042 [TestNG-test-Movie related tests-2] INFO  [shouldBeAbleToCreateMultipleMoviesInASingleRequest] (com.moviedb.tests.movies.MovieCrudTests: 70) - Step 1: Creating movies
05:52:53.329 [TestNG-test-Movie related tests-1] INFO  [shouldBeAbleToCreateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 39) - Step 2: Performing assertion on the API response
05:52:53.334 [TestNG-test-Movie related tests-2] INFO  [shouldBeAbleToCreateMultipleMoviesInASingleRequest] (com.moviedb.tests.movies.MovieCrudTests: 80) - Step 2: Performing assertion on the API response
05:52:53.378 [TestNG-test-Movie related tests-2] INFO  [shouldBeAbleToCreateMultipleMoviesInASingleRequest] (com.moviedb.tests.movies.MovieCrudTests: 88) - Step 3: Adding movieIds to cleanUp list"
05:52:53.459 [TestNG-test-Movie related tests-1] INFO  [shouldBeAbleToCreateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 50) - Step 3: Adding movieIds to cleanUp list
05:52:53.460 [TestNG-test-Movie related tests-1] INFO  [shouldBeAbleToCreateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 57) - Step 4: Id of the newly created movie is: 12
05:52:53.506 [TestNG-test-Movie related tests-3] INFO  [shouldBeAbleToDeleteAMovie] (com.moviedb.tests.movies.MovieCrudTests: 222) - Step 2: Performing assertion on the API response
05:52:53.511 [TestNG-test-Movie related tests-1] INFO  [] (com.moviedb.tests.movies.MovieCrudTests: 238) - In CleanUp > Cleaned up Movie ID: 12
05:52:53.529 [TestNG-test-Movie related tests-1] INFO  [shouldBeAbleToPatchUpdateAMovieTitleSuccessfully] (com.moviedb.tests.movies.MovieCrudTests: 150) - Step 1: Creating a default movie
05:52:53.535 [TestNG-test-Movie related tests-3] INFO  [shouldBeAbleToUpdateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 110) - Step 1: Creating a default movie
05:52:53.606 [TestNG-test-Movie related tests-2] INFO  [] (com.moviedb.tests.movies.MovieCrudTests: 238) - In CleanUp > Cleaned up Movie ID: 13
05:52:53.630 [TestNG-test-Movie related tests-2] INFO  [] (com.moviedb.tests.movies.MovieCrudTests: 238) - In CleanUp > Cleaned up Movie ID: 14
05:52:53.676 [TestNG-test-Movie related tests-2] INFO  [] (com.moviedb.tests.movies.MovieCrudTests: 238) - In CleanUp > Cleaned up Movie ID: 15
05:52:53.680 [TestNG-test-Movie related tests-2] INFO  [shouldBeAbleToUploadMoviePosterSuccessfully] (com.moviedb.tests.movies.MovieCrudTests: 182) - Step 1: Creating a default movie
05:52:53.688 [TestNG-test-Movie related tests-1] INFO  [shouldBeAbleToPatchUpdateAMovieTitleSuccessfully] (com.moviedb.tests.movies.MovieCrudTests: 157) - Step 2: Adding movieIds to cleanUp list
05:52:53.689 [TestNG-test-Movie related tests-1] INFO  [shouldBeAbleToPatchUpdateAMovieTitleSuccessfully] (com.moviedb.tests.movies.MovieCrudTests: 168) - Step 3: Performing assertion on the API response
05:52:53.693 [TestNG-test-Movie related tests-3] INFO  [shouldBeAbleToUpdateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 117) - Step 2: Adding movieIds to cleanUp list
05:52:53.694 [TestNG-test-Movie related tests-3] INFO  [shouldBeAbleToUpdateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 124) - Step 3: Updating budget for ID: 17
05:52:53.727 [TestNG-test-Movie related tests-3] INFO  [shouldBeAbleToUpdateAMovie] (com.moviedb.tests.movies.MovieCrudTests: 130) - Step 4: Performing assertion on the API response
05:52:53.767 [TestNG-test-Movie related tests-3] INFO  [] (com.moviedb.tests.movies.MovieCrudTests: 238) - In CleanUp > Cleaned up Movie ID: 17
05:52:53.771 [TestNG-test-Movie related tests-3] INFO  [givenInvalidMovieDetails_whenCreatingMovie_thenStatusIs404] (com.moviedb.tests.movies.MovieNegativeTests: 91) - Step 1: Creating a default movie without movie title
05:52:53.773 [TestNG-test-Movie related tests-3] INFO  [givenInvalidMovieDetails_whenCreatingMovie_thenStatusIs404] (com.moviedb.tests.movies.MovieNegativeTests: 115) - Step 2: Validating the API response
05:52:53.792 [TestNG-test-Movie related tests-1] INFO  [] (com.moviedb.tests.movies.MovieCrudTests: 238) - In CleanUp > Cleaned up Movie ID: 16
05:52:53.795 [TestNG-test-Movie related tests-2] INFO  [shouldBeAbleToUploadMoviePosterSuccessfully] (com.moviedb.tests.movies.MovieCrudTests: 188) - Step 2: Adding movieIds to cleanUp list
05:52:53.795 [TestNG-test-Movie related tests-1] INFO  [givenInvalidMovieId_whenDeletingMovie_thenStatusIs404] (com.moviedb.tests.movies.MovieNegativeTests: 129) - Step 1: Calling FakerUtil's generateRandomMovieId to get a random movieId that does not exist
05:52:53.797 [TestNG-test-Movie related tests-1] INFO  [givenInvalidMovieId_whenDeletingMovie_thenStatusIs404] (com.moviedb.tests.movies.MovieNegativeTests: 134) - Step 2: Attempting to delete the movie with id 38327 which does not exist
05:52:53.821 [TestNG-test-Movie related tests-1] INFO  [givenInvalidMovieId_whenDeletingMovie_thenStatusIs404] (com.moviedb.tests.movies.MovieNegativeTests: 139) - 
05:52:53.834 [TestNG-test-Movie related tests-3] INFO  [givenInvalidMovieId_whenRequestingMovieInfo_thenStatusIs404] (com.moviedb.tests.movies.MovieNegativeTests: 71) - Step 1: Attempting to retrieve the movie with id 200 which does not exist
05:52:53.859 [TestNG-test-Movie related tests-1] INFO  [givenInvalidToken_whenRequestingMovies_thenReturns401] (com.moviedb.tests.movies.MovieNegativeTests: 52) - Step 1: Setting up page and limit query params and starting the test
05:52:53.901 [TestNG-test-Movie related tests-1] INFO  [givenNoToken_whenRequestingMovies_thenReturns401] (com.moviedb.tests.movies.MovieNegativeTests: 34) - Step 1: Setting up invalid token and starting the test
